DEPTH,WELL,CALI,CGR,DT,DTC,DTS,GR,NPHI,PE,POTA,RHOB,RT,RXO,SGR,THOR,URAN,LITHOLOGY
4096.3598,C,8.3925,31.265,85.6981,-999.25,171.9249,32.3594,0.065168,6.248,1.4249,2.4696,25.7024,4.258,32.3594,3.2149,0.1218,-999.25
4096.5122,C,8.3905,28.276,85.7247,-999.25,171.8619,29.3361,0.070798,6.3359,1.3069,2.4481,28.9289,3.963,29.3361,2.8351,0.118,-999.25
4096.6646,C,8.3905,28.0128,85.8365,-999.25,171.9418,29.107,0.082052,6.2504,1.1851,2.4346,28.7566,3.2614,29.107,3.2442,0.1218,-999.25
4096.817,C,8.3932,27.0967,86.013,-999.25,172.2209,28.219,0.099616,6.0328,1.0449,2.4106,27.8446,3.014,28.219,3.5409,0.125,-999.25
4096.9694,C,8.3905,26.1044,86.139,-999.25,172.7696,27.8433,0.097733,5.9946,1.0222,2.3999,26.535,3.0515,27.8433,3.3494,0.1936,-999.25
4097.1218,C,8.3911,25.6726,86.1694,-999.25,172.9831,29.7358,0.093785,5.9979,1.1441,2.3887,25.4764,2.9421,29.7358,2.7428,0.4524,-999.25
4097.2742,C,8.394,28.1817,86.2091,-999.25,173.6202,31.9878,0.094062,5.9406,1.3023,2.3747,25.1659,2.8675,31.9878,2.8267,0.4237,-999.25
4097.4266,C,8.3963,32.2487,86.1867,-999.25,174.2511,34.0323,0.095565,5.8017,1.3407,2.3682,26.5361,2.9231,34.0323,3.8282,0.1986,-999.25
4097.579,C,8.3993,36.4448,86.1734,-999.25,174.6816,37.8008,0.087888,5.6144,1.2391,2.3772,30.4755,3.2221,37.8008,5.4226,0.151,-999.25
4097.7314,C,8.409,36.6705,86.176,-999.25,174.7536,38.0843,0.054078,5.2523,1.0428,2.4823,37.7982,6.2338,38.0843,6.2658,0.1574,-999.25
4097.8838,C,8.4272,34.5024,86.2068,-999.25,174.8441,36.1105,0.029214,5.0233,0.9407,2.5682,46.1521,11.2914,36.1105,6.0558,0.179,-999.25
4098.0362,C,8.4381,30.2798,86.219,-999.25,174.5921,36.7899,0.012338,4.9178,0.9813,2.5954,47.2066,13.9,36.7899,4.6964,0.7248,-999.25
4098.1886,C,8.4374,25.305,86.1955,-999.25,174.1451,38.5629,0.007289,5.233,1.0279,2.5632,39.3726,9.889,38.5629,3.1,1.4761,-999.25
4098.341,C,8.4746,23.271,86.1667,-999.25,173.9914,41.8205,0.012438,6.1032,1.0421,2.5626,29.2642,5.5973,41.8205,2.4663,2.0652,-999.25
4098.4934,C,8.5708,27.4916,86.0463,-999.25,173.5965,48.2267,0.031879,7.9524,1.0511,2.6055,20.5989,3.3582,48.2267,3.6283,2.3085,-999.25
4098.6458,C,8.6315,36.7681,85.9229,-999.25,173.2387,54.949,0.053487,8.8124,1.2973,2.6291,14.6149,3.3921,54.949,5.2829,2.0242,-999.25
4098.7982,C,8.654,56.2786,85.8059,-999.25,173.0065,67.1536,0.087982,9.3477,1.8622,2.6495,10.5552,3.6587,67.1536,8.5768,1.2108,-999.25
4098.9506,C,8.6844,78.6001,85.7937,-999.25,172.9484,81.6138,0.174851,9.8693,2.6027,2.6623,8.0548,3.4215,81.6138,11.9711,0.3355,-999.25
4099.103,C,8.6911,90.1416,85.83,-999.25,172.8457,92.1966,0.219451,9.9027,3.0772,2.66,6.5511,2.9579,92.1966,13.3623,0.2288,-999.25
4099.2554,C,8.6995,98.0047,85.9371,-999.25,172.9911,100.105,0.254463,9.65,3.5093,2.6569,5.7929,2.8207,100.105,13.8781,0.2338,-999.25
4099.4078,C,8.6604,100.3391,86.1569,-999.25,173.2004,102.4389,0.261562,9.5102,3.659,2.6582,5.4314,2.8087,102.4389,13.9459,0.2338,-999.25
4099.5602,C,8.7382,102.6919,86.27,-999.25,173.3078,104.8581,0.264479,9.6075,3.6269,2.6684,5.332,2.8105,104.8581,14.741,0.2412,-999.25
4099.7126,C,8.7625,101.2469,86.5099,-999.25,173.5478,103.436,0.26851,9.7487,3.4492,2.6894,5.3344,2.7755,103.436,15.0365,0.2437,-999.25
4099.865,C,8.4318,95.9581,86.7291,-999.25,173.7448,98.1306,0.286034,9.7794,3.2152,2.6893,5.3644,2.8313,98.1306,14.4649,0.2419,-999.25
4100.0174,C,8.6157,93.8881,86.8302,-999.25,173.9154,98.2314,0.285756,9.6225,3.1185,2.6761,5.424,2.7717,98.2314,14.2615,0.4836,-999.25
4100.1698,C,8.6453,94.0305,86.8455,-999.25,174.01,99.1762,0.285604,8.4355,3.0917,2.6477,5.488,2.7817,99.1762,14.4082,0.5729,-999.25
4100.3222,C,8.5051,100.6112,86.8151,-999.25,174.2571,103.0342,0.293463,7.0454,3.2305,2.6262,5.2582,2.8554,103.0342,15.7246,0.2698,-999.25
4100.4746,C,8.5101,111.0759,86.5931,-999.25,174.5452,113.3677,0.273179,5.7036,3.3429,2.5954,4.7512,2.8883,113.3677,18.2479,0.2552,-999.25
4100.627,C,8.5133,110.7551,86.297,-999.25,174.7133,113.0265,0.258985,5.4997,3.1739,2.5776,4.2223,2.1771,113.0265,18.8276,0.2529,-999.25
4100.7794,C,8.5359,95.9513,86.2536,-999.25,174.6589,98.0786,0.246736,5.9589,2.6874,2.5618,3.9392,1.4918,98.0786,16.5586,0.2368,-999.25
4100.9318,C,8.6503,73.3632,86.0127,-999.25,173.5432,75.2624,0.178305,7.6787,2.1178,2.542,4.3315,1.4296,75.2624,12.4099,0.2114,-999.25
4101.0842,C,8.6939,59.1709,84.1178,-999.25,170.2871,60.8777,0.139378,8.845,1.8882,2.5492,6.0704,2.1733,60.8777,9.2942,0.19,-999.25
4101.2366,C,8.6872,49.911,74.6726,-999.25,152.9572,51.4735,0.108593,9.5768,1.7543,2.5736,10.7178,4.0286,51.4735,7.1982,0.174,-999.25
4101.389,C,8.6376,42.6597,62.0342,-999.25,121.0014,44.3742,0.062502,9.3544,1.6737,2.637,21.6399,7.2545,44.3742,5.4606,0.1909,-999.25
4101.5414,C,8.6078,38.5297,56.5878,-999.25,101.1541,44.6278,0.042408,8.2543,1.6121,2.6747,42.494,9.4286,44.6278,4.5334,0.6789,-999.25
4101.6938,C,8.5423,32.4644,55.741,-999.25,92.9737,46.5863,0.02874,6.8069,1.507,2.6903,55.2667,7.8673,46.5863,3.2294,1.5722,-999.25
4101.8462,C,8.5201,29.6109,55.4728,-999.25,91.2864,50.1398,0.021948,5.6998,1.3908,2.6869,48.6937,5.7012,50.1398,2.8809,2.2856,-999.25
4101.9986,C,8.5136,30.1496,55.4024,-999.25,90.8335,54.7743,0.02241,5.8738,1.2786,2.6672,40.2773,4.3001,54.7743,3.479,2.7416,-999.25
4102.151,C,8.5234,32.7494,55.5015,-999.25,90.6188,56.6515,0.02883,7.1162,1.2231,2.6682,35.0914,4.7727,56.6515,4.4375,2.6611,-999.25
4102.3034,C,8.6052,35.2158,55.762,-999.25,91.0381,57.497,0.037444,8.1592,1.2097,2.6716,25.3102,7.2644,57.497,5.1903,2.4807,-999.25
4102.4558,C,8.512,40.0292,56.5874,-999.25,93.5943,57.6696,0.042427,7.6405,1.2813,2.6769,14.5017,8.3246,57.6696,6.272,1.964,-999.25
4102.6082,C,8.4917,42.5993,57.2619,-999.25,95.0632,58.6249,0.041256,6.4348,1.3972,2.6791,7.8802,6.4925,58.6249,6.5411,1.7842,-999.25
4102.7606,C,8.4951,44.1015,57.8801,-999.25,95.7149,60.193,0.049119,6.0221,1.5427,2.6748,4.8313,3.3413,60.193,6.3899,1.7915,-999.25
4102.913,C,8.511,44.1893,58.5001,-999.25,96.728,61.5171,0.069495,6.2208,1.6524,2.6671,3.6267,1.8086,61.5171,5.9793,1.9292,-999.25
4103.0654,C,8.5066,42.3601,60.0125,-999.25,99.2929,63.6382,0.090814,6.3724,1.6512,2.6292,3.6168,1.3336,63.6382,5.4649,2.369,-999.25
4103.2178,C,8.4775,40.9064,62.7702,-999.25,103.6151,66.0842,0.097224,5.8294,1.5523,2.5587,4.4153,2.7794,66.0842,5.4448,2.8031,-999.25
4103.3702,C,8.4396,39.0221,65.7149,-999.25,107.7314,67.8722,0.102608,5.1949,1.3891,2.4796,5.9281,4.4503,67.8722,5.5581,3.212,-999.25
4103.5226,C,8.4052,35.6589,67.9069,-999.25,110.2096,65.2315,0.109204,5.0912,1.1256,2.4393,7.0574,5.6466,65.2315,5.6501,3.2924,-999.25
4103.675,C,8.4174,31.7445,68.4307,-999.25,110.7774,56.1222,0.113401,5.6104,0.9634,2.4761,6.8434,4.9333,56.1222,5.1834,2.7141,-999.25
4103.8274,C,8.4299,26.1774,68.3467,-999.25,110.4559,39.6037,0.105068,5.9583,0.8884,2.5166,5.4023,2.9085,39.6037,3.901,1.4948,-999.25
4103.9798,C,8.4506,24.0596,68.1446,-999.25,110.2,28.5565,0.089981,6.065,0.965,2.5296,4.0051,1.7206,28.5565,2.9961,0.5007,-999.25
4104.1322,C,8.4251,24.342,67.9667,-999.25,109.9914,25.2814,0.087347,5.8309,1.0996,2.4992,3.201,1.2936,25.2814,2.5419,0.1046,-999.25
4104.2846,C,8.4095,19.4617,67.8785,-999.25,109.7295,21.2012,0.079921,5.4536,0.9961,2.4316,2.7733,1.1207,21.2012,1.568,0.1937,-999.25
4104.437,C,8.4,17.3357,68.0058,-999.25,109.3894,20.4639,0.078311,5.2557,1.0506,2.3576,2.5981,1.0507,20.4639,0.7481,0.3483,-999.25
4104.5894,C,8.4007,17.0921,68.3802,-999.25,109.1427,20.0971,0.079475,5.249,1.0707,2.3396,2.5442,1.0366,20.0971,0.5995,0.3346,-999.25
4104.7418,C,8.4008,16.4175,68.8267,-999.25,109.161,20.0087,0.079884,5.298,1.0293,2.3333,2.558,1.0983,20.0087,0.5724,0.3998,-999.25
4104.8942,C,8.3982,18.0288,69.3032,-999.25,109.4993,20.5151,0.080778,5.32,0.9754,2.3337,2.5833,1.176,20.5151,1.2434,0.2768,-999.25
4105.0466,C,8.3968,20.0782,69.6475,-999.25,110.0102,21.3105,0.082951,5.2923,1.0172,2.3428,2.6165,1.281,21.3105,1.6591,0.1372,-999.25
4105.199,C,8.3925,18.9302,69.892,-999.25,110.2338,21.739,0.082744,5.3079,1.1287,2.3557,2.6959,1.3184,21.739,0.8905,0.3127,-999.25
4105.3514,C,8.3893,18.6328,69.8288,-999.25,109.6148,22.4489,0.083663,5.325,1.2164,2.3609,2.9342,1.3343,22.4489,0.4581,0.4249,-999.25
4105.5038,C,8.3892,22.1762,69.325,-999.25,108.0402,23.3721,0.086522,5.2514,1.2452,2.3592,3.4349,1.4306,23.3721,1.3494,0.1331,-999.25
4105.6562,C,8.3896,22.2964,68.3067,-999.25,106.0546,23.7826,0.08461,5.1462,1.1263,2.3535,4.2913,1.8964,23.7826,1.8552,0.1655,-999.25
4105.8086,C,8.3899,19.3366,67.1463,-999.25,104.3064,23.1489,0.077784,5.0056,0.8985,2.3658,5.4756,2.6247,23.1489,1.9199,0.4244,-999.25
4105.961,C,8.3986,17.7374,66.2274,-999.25,103.4319,24.6141,0.073407,4.9579,0.7115,2.4064,6.7353,2.8011,24.6141,2.2086,0.7656,-999.25
