sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
839,0.000403238,20.666,40.911,60.746,80.539,99.678,580.67,340.72,331.89,325.17,319.23,313.75,0.23
840,0.00117513,53.088,102.62,149.9,195.91,239.35,1692.2,857.28,811.96,775.13,742.16,712.07,0.25
841,0.000145257,6.8853,13.513,20.046,26.625,33.052,209.17,111.9,108.66,107.09,106.11,105.36,0.17
842,0.00185392,77.938,150.18,218.21,283.4,343.99,2669.7,1264.2,1184.3,1115.1,1051.5,993.25,0.24
843,0.00168014,69.722,133.35,193.5,251.48,305.72,2419.4,1112.4,1043.0,986.14,935.2,889.03,0.17
844,0.000244978,9.6175,18.481,27.172,35.899,44.409,352.77,151.01,145.3,142.47,140.76,139.51,0.21
845,0.00375398,148.06,276.12,391.95,498.5,592.61,5405.8,2332.0,2099.5,1898.7,1718.6,1492.1,0.17
846,0.00108263,50.683,97.213,141.23,183.73,223.6,1559.0,814.82,762.78,721.52,685.6,653.52,0.19
847,0.002131,92.299,176.98,256.23,331.68,401.34,3068.7,1490.6,1388.2,1299.1,1217.0,1141.9,0.2
848,0.000608206,28.698,56.177,82.829,109.2,134.52,875.82,469.62,450.47,436.92,425.4,415.02,0.2
849,0.000808559,35.042,67.554,98.685,129.14,158.08,1164.3,563.36,532.97,510.35,491.28,474.39,0.25
850,0.00202582,78.395,149.33,215.97,279.76,339.0,2917.2,1247.1,1162.9,1092.5,1028.9,971.1,0.2
851,0.000694491,31.697,62.881,93.367,123.67,152.85,1000.1,524.12,511.23,499.76,488.78,478.29,0.21
852,0.000937706,44.049,85.108,124.39,162.76,199.15,1350.3,710.91,673.11,643.96,618.9,596.58,0.19
853,0.00100971,41.257,81.128,119.76,157.85,194.23,1454.0,677.58,653.62,633.39,614.36,596.39,0.25
854,0.002125,71.339,137.18,199.53,259.65,314.89,3060.0,1145.9,1079.4,1022.1,969.69,905.54,0.24
855,0.017361,1475.0,2764.6,3559.7,4213.2,4757.3,25000.0,25000.0,15804.0,12529.0,10540.0,8919.5,0.22
856,0.000339029,17.521,35.012,52.248,69.524,86.293,488.2,291.66,286.73,282.57,278.64,274.9,0.22
857,0.00308269,107.61,201.83,287.07,365.53,436.27,4439.1,1667.9,1508.9,1397.3,1265.4,1159.7,0.23
858,0.00209388,80.952,154.37,223.28,289.16,350.27,3015.2,1290.4,1203.6,1129.7,1062.6,1001.7,0.19
859,0.00433913,149.96,275.47,382.56,474.28,553.92,6248.4,2293.4,1987.0,1689.6,1479.3,1305.6,0.25
860,0.00146011,55.88,106.96,155.36,202.11,245.89,2102.6,891.2,837.46,793.44,753.88,717.78,0.26
861,0.00188863,81.725,157.93,229.82,298.84,363.11,2719.6,1329.2,1249.3,1178.5,1113.2,1053.6,0.23
862,0.00230716,100.17,192.11,278.16,360.1,435.74,3322.3,1616.4,1507.2,1410.8,1321.6,1239.9,0.23
863,0.00185631,83.808,160.99,233.37,302.46,366.43,2673.1,1354.8,1265.3,1186.5,1114.4,1048.7,0.25
864,0.00304713,95.374,178.49,253.32,322.05,384.7,4387.9,1485.1,1322.5,1200.0,1108.6,1027.0,0.17
865,0.00358579,137.78,256.98,364.0,460.62,543.54,5163.6,2183.4,1954.2,1754.4,1558.4,1359.4,0.25
866,0.017361,1475.0,2796.4,3642.7,4304.1,4848.4,25000.0,25000.0,16746.0,13092.0,10668.0,8921.9,0.2
867,0.00577192,216.22,395.75,546.5,672.69,774.33,8311.6,3341.3,2822.2,2338.1,1946.7,1666.1,0.24
868,0.00165247,66.61,128.96,188.04,245.05,298.36,2379.6,1085.2,1022.1,968.66,919.37,873.93,0.26
869,0.00112843,53.912,105.95,156.04,205.12,251.71,1625.0,890.31,853.07,821.22,791.55,763.86,0.18
870,0.00225276,83.33,158.38,229.0,296.7,359.65,3244.0,1320.1,1230.4,1157.7,1091.9,1031.9,0.2
871,1.22217e-05,0.68517,1.3706,2.0539,2.747,3.4282,17.599,11.322,11.237,11.201,11.18,11.167,0.25
872,0.000756404,29.454,56.899,83.525,109.91,135.28,1089.2,469.78,449.92,436.49,425.56,415.96,0.18
873,0.00632182,223.04,399.94,542.07,657.9,755.03,9103.5,3387.5,2748.0,2218.2,1868.3,1592.2,0.25
874,0.00212004,89.604,173.25,252.13,327.76,398.02,3052.9,1458.7,1371.3,1293.1,1219.8,1151.8,0.22
875,0.00307085,126.07,238.36,341.01,436.5,522.66,4422.1,2025.9,1840.9,1682.7,1540.1,1412.5,0.17
876,0.000481162,21.264,41.945,62.246,82.537,102.18,692.88,347.48,339.02,332.8,327.27,322.09,0.23
877,0.00653466,213.24,375.8,509.54,620.94,714.83,9410.0,3165.5,2512.1,2096.4,1796.7,1539.1,0.19
878,0.000628559,24.393,46.198,67.106,87.669,107.34,905.13,380.36,357.46,342.75,331.65,322.44,0.25
879,0.000364978,17.974,35.676,53.089,70.53,87.452,525.57,296.74,290.2,285.46,281.3,277.41,0.23
880,0.000187385,9.7571,19.443,29.026,38.679,48.098,269.84,161.3,158.78,157.1,155.69,154.41,0.22
881,0.000830981,34.034,65.585,95.924,125.73,154.17,1196.6,545.88,517.23,497.35,480.81,466.11,0.25
882,0.000186898,8.505,16.985,25.387,33.859,42.131,269.14,140.71,139.02,137.74,136.63,135.61,0.23
883,0.00297005,121.23,230.97,332.17,427.17,513.68,4276.9,1962.0,1798.9,1659.0,1532.2,1418.3,0.19
884,0.000790793,36.856,72.184,106.2,139.58,171.35,1138.7,606.47,579.15,557.61,538.41,520.9,0.22
885,0.000637384,31.098,60.566,89.055,117.17,144.08,917.84,505.25,483.08,467.03,453.41,441.16,0.26
886,0.000417625,18.104,35.775,53.072,70.309,86.962,601.38,297.11,289.69,283.55,278.03,272.99,0.23
887,0.00179838,80.872,154.05,222.49,287.84,348.45,2589.7,1295.9,1199.7,1121.9,1054.0,993.55,0.18
888,0.00107954,50.8,99.682,146.64,192.53,236.01,1554.6,838.04,801.33,769.76,740.28,712.76,0.24
889,9.65149e-06,0.51368,0.9918,1.4534,1.9104,2.3509,13.898,8.2606,7.8381,7.5675,7.3709,7.2211,0.24
890,0.0044311,152.52,276.25,380.4,469.57,547.56,6380.8,2305.7,1938.6,1642.0,1438.1,1278.5,0.21
891,0.00118181,45.339,87.44,128.02,167.9,205.91,1701.8,723.82,690.19,665.2,643.21,623.1,0.17
892,0.00367717,131.49,240.83,332.73,413.92,484.63,5295.2,1998.6,1731.1,1506.7,1309.5,1159.2,0.25
893,0.000875798,38.355,75.213,111.02,146.43,180.36,1261.2,625.99,604.23,586.95,571.11,556.25,0.19
894,0.000313017,16.649,33.234,49.58,65.97,81.889,450.75,276.54,271.88,267.97,264.35,260.96,0.23
895,0.00176338,76.285,147.28,214.53,279.39,340.06,2539.3,1235.9,1163.9,1102.5,1046.1,994.6,0.18
896,0.00186849,79.611,152.02,219.88,284.78,345.03,2690.6,1280.9,1187.0,1112.4,1046.8,987.76,0.17
897,0.000945912,42.04,81.822,120.32,158.28,194.54,1362.1,679.29,652.15,631.13,612.17,594.49,0.24
898,0.00098337,39.362,74.891,108.89,142.18,173.86,1416.1,619.01,582.43,557.29,537.0,519.32,0.24
899,0.00130392,64.07,125.33,183.94,241.0,294.81,1877.7,1053.5,1004.2,960.9,920.2,882.26,0.17
900,0.000221205,11.196,21.851,32.257,42.654,52.743,318.54,181.43,174.67,170.59,167.7,165.4,0.22
901,0.0014168,47.486,88.408,125.71,161.15,194.25,2040.2,726.15,656.28,611.49,571.58,542.74,0.26
902,0.00360228,137.13,256.62,364.77,463.52,548.95,5187.3,2171.6,1958.9,1772.9,1592.8,1400.5,0.26
903,0.000791778,29.236,57.078,84.057,110.69,136.2,1140.2,473.47,456.42,442.28,429.62,418.13,0.22
904,0.000254283,10.582,20.942,31.2,41.542,51.64,366.17,172.67,169.83,168.17,166.8,165.55,0.18
905,0.00277745,104.88,200.11,288.64,372.33,449.02,3999.5,1684.0,1561.1,1451.3,1349.8,1257.2,0.24
906,0.000157803,7.5944,15.144,22.613,30.145,37.506,227.24,125.99,123.76,122.46,121.49,120.66,0.17
907,0.0025428,95.864,183.58,265.75,344.09,416.49,3661.7,1542.7,1438.0,1347.1,1263.4,1187.0,0.21
908,0.00242544,94.523,182.6,265.6,345.07,418.78,3492.7,1534.2,1444.0,1360.6,1281.7,1208.5,0.2
909,0.00109281,51.583,101.37,149.16,195.83,239.98,1573.6,852.99,816.12,783.56,752.7,723.68,0.24
910,0.00014898,6.4465,12.575,18.62,24.712,30.665,214.53,103.25,100.47,99.102,98.25,97.602,0.22
911,0.00077505,37.761,73.658,108.21,142.14,174.46,1116.1,617.39,588.47,566.41,547.21,529.87,0.18
912,0.00114907,50.642,98.278,143.97,188.63,230.98,1654.7,821.36,780.92,748.97,720.44,694.3,0.2
913,0.00233695,86.618,162.66,232.35,298.67,358.6,3365.2,1334.1,1221.6,1142.3,1069.7,982.42,0.17
914,0.00106358,46.399,90.094,132.13,173.36,212.58,1531.6,751.2,716.3,689.12,665.03,642.94,0.22
915,0.00212487,71.219,136.94,199.15,259.12,314.46,3059.8,1143.9,1077.4,1019.8,967.19,907.3,0.25
916,0.000498674,20.98,41.778,62.247,82.734,102.59,718.1,347.47,340.96,335.55,330.44,325.56,0.24
917,0.000332976,16.713,33.175,49.386,65.643,81.44,479.49,275.78,269.87,265.75,262.22,258.96,0.23
918,0.001259,55.022,106.71,156.45,205.16,251.4,1813.0,887.27,847.42,815.28,785.69,758.02,0.2
919,1.01861e-06,0.0609707,0.1166,0.17098,0.22548,0.27858,1.4668,0.95082,0.91188,0.89159,0.87897,0.87045,0.19
920,0.00162902,68.227,132.45,193.87,253.67,310.07,2345.8,1107.7,1052.8,1007.0,964.42,924.71,0.19
921,0.000540763,20.279,38.474,55.914,73.223,89.908,778.7,314.15,294.54,285.9,279.18,273.52,0.23
922,8.3796e-05,4.6596,9.3332,13.979,18.68,23.288,120.67,77.496,76.617,76.162,75.829,75.54,0.2
923,0.000430705,21.192,42.262,62.987,83.723,103.81,620.22,352.13,345.4,339.77,334.44,329.34,0.26
924,0.00156131,61.102,117.61,171.32,223.33,272.19,2248.3,981.57,926.4,880.5,838.89,800.93,0.19
925,0.00342429,135.2,252.38,358.88,457.59,544.31,4931.0,2128.1,1921.0,1745.9,1592.1,1421.6,0.23
926,0.00473128,193.38,359.45,501.82,627.35,733.37,6813.1,3017.0,2632.0,2334.0,2024.6,1738.0,0.17
927,0.000543748,22.699,44.037,64.839,85.526,105.48,783.0,362.44,349.8,341.02,333.67,327.06,0.22
928,4.46227e-06,0.29452,0.59154,0.8877,1.1883,1.4837,6.4257,4.9025,4.8692,4.8551,4.8479,4.8437,0.19
929,0.000277563,14.061,28.086,41.938,55.859,69.411,399.69,233.7,229.93,227.08,224.53,222.16,0.19
930,0.00151691,58.486,111.68,162.14,211.03,257.0,2184.4,930.45,872.06,827.24,788.47,753.6,0.22
931,0.0041454,142.5,256.63,354.26,439.74,515.2,5969.4,2117.8,1792.1,1549.8,1378.7,1237.1,0.22
932,0.00124713,48.564,94.032,137.8,180.75,221.62,1795.9,780.54,745.37,717.59,692.69,669.89,0.18
933,0.00236481,93.563,178.84,258.81,335.12,405.69,3405.4,1496.0,1397.9,1311.1,1230.7,1156.9,0.25
934,0.00416391,146.75,273.98,382.84,479.1,563.01,5996.1,2305.0,2021.1,1784.6,1552.5,1375.7,0.21
935,0.00336354,124.34,233.76,331.23,420.12,499.12,4843.5,1956.9,1746.5,1597.9,1433.7,1295.2,0.17
936,0.000788093,34.277,67.408,99.661,131.63,162.35,1134.9,561.71,543.13,528.73,515.67,503.49,0.19
937,0.000226567,10.392,20.638,30.775,40.985,50.945,326.26,170.58,167.97,166.18,164.66,163.28,0.18
938,0.00262244,106.03,201.75,290.97,375.57,453.36,3776.3,1691.5,1569.3,1462.6,1364.5,1275.2,0.18
939,0.00375606,131.75,234.32,319.88,393.88,459.3,5408.8,1950.5,1594.3,1351.2,1193.5,1072.5,0.21
940,0.00164159,74.912,145.6,212.56,277.07,337.3,2363.9,1225.3,1158.8,1097.7,1040.4,987.51,0.25
941,0.00105507,44.841,86.756,126.92,166.16,203.36,1519.3,724.67,687.13,658.37,632.99,609.88,0.2
942,0.000765717,34.789,67.975,100.18,132.02,162.52,1102.6,564.33,544.03,528.0,513.5,500.03,0.2
943,0.00045036,18.077,35.456,52.465,69.45,85.899,648.52,293.73,284.89,278.84,273.95,269.65,0.18
944,0.00122784,57.022,111.03,162.51,212.47,259.47,1768.1,935.53,885.44,843.88,805.74,770.52,0.22
945,0.00177158,70.138,133.41,192.77,249.58,302.38,2551.1,1116.0,1037.2,973.09,916.37,865.53,0.17
946,6.77295e-05,4.0859,8.2168,12.323,16.478,20.55,97.531,68.487,67.719,67.311,67.014,66.763,0.22
947,0.000846712,39.6,78.057,115.37,152.22,187.5,1219.3,654.21,630.43,611.62,594.41,578.37,0.19
948,0.00353567,133.88,251.23,358.74,458.98,547.16,5091.4,2113.3,1923.9,1762.4,1616.8,1445.6,0.2
949,0.00024734,12.136,23.362,34.266,45.139,55.687,356.17,193.75,184.04,178.75,175.37,172.91,0.24
950,4.13122e-05,2.2624,4.5275,6.7803,9.0625,11.303,59.49,37.56,37.132,36.931,36.811,36.725,0.25
951,0.00140252,63.76,124.03,181.43,237.06,289.35,2019.6,1040.8,988.07,940.99,897.28,857.08,0.21
952,0.00155394,68.55,131.71,191.18,248.31,301.58,2237.7,1108.6,1035.4,974.98,921.39,873.38,0.2
953,0.000443608,21.154,41.836,62.131,82.418,102.07,638.8,348.27,339.06,332.71,327.2,322.11,0.19
954,0.000832139,34.186,65.475,95.58,125.2,153.51,1198.3,540.96,512.92,493.52,477.8,464.02,0.25
955,0.00176507,77.355,150.72,220.63,288.42,352.12,2541.7,1266.4,1202.6,1146.2,1093.3,1044.3,0.17
956,0.000188904,10.074,20.162,30.16,40.244,50.095,272.02,167.73,165.37,163.9,162.65,161.49,0.25
957,0.00512855,175.49,322.25,446.63,552.65,644.63,7385.2,2688.5,2320.2,1959.1,1710.0,1508.0,0.2
958,0.000620842,25.68,50.682,75.115,99.422,122.85,894.02,422.09,409.87,400.54,392.06,384.13,0.18
959,0.000817056,37.746,74.244,109.66,144.64,178.12,1176.6,619.38,598.33,580.59,564.2,548.87,0.21
960,0.00174008,75.72,146.45,213.29,277.58,337.52,2505.7,1231.9,1159.5,1095.8,1036.9,982.7,0.25
961,4.79064e-05,2.3417,4.6328,6.908,9.2116,11.472,68.986,38.196,37.56,37.299,37.154,37.052,0.17
962,0.000188904,10.299,20.512,30.597,40.743,50.635,272.02,170.75,167.42,165.33,163.65,162.16,0.25
963,0.000386419,13.094,25.548,37.851,50.226,62.283,556.45,208.09,204.17,201.68,199.59,197.66,0.21
964,0.000527101,21.943,43.56,64.806,86.051,106.63,759.03,362.25,354.38,348.29,342.66,337.34,0.2
965,0.00190316,87.502,168.55,245.0,318.4,386.75,2740.6,1415.1,1328.7,1253.3,1183.9,1120.5,0.2
966,0.00090235,35.502,68.43,100.21,131.55,161.52,1299.4,565.96,539.81,521.04,505.35,491.36,0.26
967,0.00253546,88.29,167.09,241.09,311.75,375.96,3651.1,1386.6,1291.8,1213.1,1139.8,1052.6,0.19
968,0.000196488,10.257,20.323,30.253,40.236,49.966,282.94,168.51,165.01,162.79,161.03,159.5,0.22
969,0.00122828,51.434,99.233,144.87,189.33,231.37,1768.7,830.09,783.59,748.11,717.14,689.16,0.19
970,0.000643712,33.158,65.754,97.569,129.15,159.53,926.95,549.33,534.37,521.55,509.44,497.96,0.19
971,0.00213117,81.656,154.57,220.54,282.72,338.84,3068.9,1286.9,1168.2,1081.6,1002.9,920.05,0.21
972,0.00310025,125.13,236.85,339.22,434.68,521.03,4464.4,2011.4,1831.5,1678.2,1539.6,1415.5,0.25
973,0.00463487,165.28,308.34,429.68,536.19,628.43,6674.2,2600.9,2269.4,1989.2,1717.9,1512.1,0.2
974,0.00337837,148.14,280.72,402.08,515.0,616.87,4864.9,2380.4,2173.4,1989.5,1821.3,1670.0,0.17
975,0.000877564,42.293,83.343,123.07,162.17,199.47,1263.7,698.18,672.96,651.21,630.73,611.48,0.2
976,0.000853455,41.724,81.98,120.81,158.92,195.17,1229.0,686.99,659.92,636.55,614.72,594.31,0.23
977,0.000335776,14.059,27.539,40.745,53.952,66.767,483.52,228.26,220.99,216.48,213.02,210.08,0.24
978,0.00232647,102.28,194.87,281.04,362.66,437.62,3350.1,1639.5,1517.8,1412.7,1316.5,1228.9,0.18
979,0.00274213,95.965,180.21,257.74,328.96,392.79,3948.7,1511.4,1381.0,1270.9,1148.8,1046.3,0.22
980,1.21266e-07,0.00885655,0.0173507,0.0257332,0.0341969,0.0424926,0.17462,0.14385,0.13925,0.13742,0.13651,0.13599,0.2
981,0.000382625,18.617,36.689,54.332,71.907,88.891,550.98,306.35,296.27,289.23,283.46,278.42,0.17
982,0.00285049,104.24,194.49,275.31,349.27,415.49,4104.7,1614.3,1441.5,1324.9,1193.0,1085.5,0.17
