DEPTH,PHIE,SWE,VSH
2296.8,0.117491,0.4891,0.207947
2296.9,0.120379,0.4655,0.18933
2297,0.131116,0.4367,0.120812
2297.1,0.131823,0.433,0.088063
2297.2,0.134135,0.3474,0.071284
2297.3,0.13572,0.3033,0.067967
2297.4,0.138464,0.2915,0.072395
2297.5,0.140746,0.2954,0.079664
2297.6,0.149267,0.2905,0.089748
2297.7,0.159242,0.2858,0.097215
2297.8,0.163663,0.2811,0.107012
2297.9,0.165134,0.2739,0.121605
2298,0.159473,0.2794,0.1239
2298.1,0.153888,0.3021,0.123341
2298.2,0.148252,0.3252,0.12377
2298.3,0.152947,0.3437,0.116411
2298.4,0.159408,0.3526,0.105358
2298.5,0.162285,0.3526,0.103231
2298.6,0.166682,0.3479,0.102328
2298.7,0.170197,0.3525,0.103217
2298.8,0.174236,0.3468,0.104024
2298.9,0.17343,0.3413,0.101846
2299,0.173469,0.3359,0.098037
2299.1,0.165418,0.3365,0.083664
2299.2,0.162952,0.3344,0.078277
2299.3,0.171591,0.3161,0.092888
2299.4,0.173672,0.3399,0.102661
2299.5,0.162282,0.3945,0.082902
2299.6,0.180939,0.3658,0.08826
2299.7,0.155397,0.4345,0.113689
2299.8,0.146412,0.5179,0.15493
2299.9,0.141419,0.5854,0.208595
2300,0.134606,0.6007,0.250441
2300.1,0.120642,0.6306,0.289979
2300.2,0.105538,0.6744,0.324695
2300.3,0.101981,0.6743,0.334527
2300.4,0.105327,0.632,0.313737
2300.5,0.123813,0.4985,0.244641
2300.6,0.147696,0.3877,0.154912
2300.7,0.149885,0.2949,0.159502
2300.8,0.149878,0.2746,0.13465
2300.9,0.152462,0.284,0.109686
2301,0.14713,0.3195,0.093163
2301.1,0.15436,0.3283,0.068259
2301.2,0.158837,0.336,0.066396
2301.3,0.160917,0.3788,0.075682
2301.4,0.157527,0.4215,0.09975
2301.5,0.151672,0.4503,0.125449
2301.6,0.149651,0.4706,0.155462
2301.7,0.148765,0.4916,0.172293
2301.8,0.146651,0.5106,0.179008
2301.9,0.143749,0.5224,0.182703
2302,0.144343,0.5171,0.186666
2302.1,0.147179,0.5033,0.183893
2302.2,0.1498,0.4833,0.174666
2302.3,0.151832,0.4581,0.15793
2302.4,0.157331,0.4383,0.130654
2302.5,0.162817,0.426,0.099827
2302.6,0.163765,0.4282,0.069058
2302.7,0.161218,0.4352,0.051381
2302.8,0.15583,0.4416,0.04212
2302.9,0.156325,0.4335,0.029284
2303,0.159131,0.4204,0.025267
2303.1,0.158444,0.4162,0.021375
2303.2,0.160315,0.4041,0.024354
2303.3,0.166622,0.3832,0.027536
2303.4,0.176339,0.3619,0.028554
2303.5,0.179702,0.3739,0.03479
2303.6,0.181868,0.3931,0.044961
2303.7,0.176851,0.422,0.058922
2303.8,0.173009,0.4429,0.067
2303.9,0.164865,0.475,0.070004
2304,0.160145,0.5028,0.063291
2304.1,0.16188,0.5043,0.061495
2304.2,0.162331,0.5039,0.061747
2304.3,0.159858,0.4984,0.067442
2304.4,0.16006,0.4849,0.075097
2304.5,0.160262,0.475,0.087104
2304.6,0.161183,0.4677,0.100992
2304.7,0.165001,0.4569,0.11294
2304.8,0.168954,0.4458,0.121439
2304.9,0.170266,0.4374,0.12883
2305,0.170085,0.429,0.129916
2305.1,0.166446,0.4242,0.12468
2305.2,0.162429,0.4255,0.121734
2305.3,0.160361,0.4152,0.115916
2305.4,0.159194,0.4014,0.112835
2305.5,0.155018,0.3887,0.106869
2305.6,0.154294,0.3755,0.085654
2305.7,0.158817,0.3613,0.068224
2305.8,0.157882,0.3665,0.070054
2305.9,0.158255,0.374,0.075476
2306,0.158397,0.3811,0.085373
2306.1,0.160213,0.3857,0.091966
2306.2,0.15804,0.4008,0.099618
2306.3,0.160541,0.4015,0.115057
2306.4,0.159954,0.4033,0.133147
2306.5,0.159112,0.394,0.161142
2306.6,0.153361,0.3895,0.186669
2306.7,0.138306,0.4054,0.233023
2306.8,0.12955,0.417,0.243764
2306.9,0.12175,0.4234,0.260177
2307,0.121501,0.4193,0.25759
