sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
414,0.00523826,173.88,316.64,436.57,538.79,627.48,7543.1,2656.1,2236.1,1891.0,1648.7,1454.0,0.24
415,0.0017057,67.576,131.1,191.75,250.68,306.17,2456.2,1094.7,1041.3,994.31,950.45,909.68,0.23
416,0.000276142,13.958,27.762,41.401,55.117,68.479,397.65,230.23,226.3,223.59,221.23,219.04,0.23
417,0.000335762,16.679,32.979,48.969,64.955,80.45,483.5,274.45,267.21,262.13,257.84,254.01,0.18
418,0.00164795,68.119,131.01,190.48,247.76,301.29,2373.1,1096.6,1031.0,974.85,923.87,877.58,0.17
419,0.000892531,41.114,80.948,119.42,157.23,193.23,1285.3,679.5,653.03,630.66,609.79,590.24,0.26
420,0.000786023,36.908,72.401,106.64,140.3,172.4,1131.9,608.01,581.86,561.3,542.97,526.21,0.2
421,0.00341732,130.07,242.43,344.41,438.15,519.45,4921.0,2044.1,1841.9,1671.8,1511.9,1332.9,0.24
422,0.00149884,72.571,139.06,201.27,260.67,315.74,2158.3,1175.3,1089.9,1019.9,958.02,902.74,0.19
423,0.000117538,5.2061,10.008,14.662,19.326,23.868,169.26,82.028,77.93,76.303,75.23,74.463,0.26
424,0.00105436,37.116,70.91,103.45,135.44,165.95,1518.3,582.17,554.0,533.47,515.92,500.14,0.21
425,0.000460235,22.469,44.573,66.258,87.916,108.88,662.74,371.62,362.37,355.48,349.33,343.6,0.2
426,0.000158092,8.0467,16.045,23.975,31.981,39.808,227.65,132.95,131.12,130.01,129.12,128.32,0.18
427,0.00174692,78.598,151.53,220.37,286.49,348.1,2515.6,1272.1,1195.7,1128.4,1066.5,1010.1,0.25
428,0.00143624,49.694,91.981,130.77,167.45,201.57,2068.2,752.49,677.75,635.84,591.6,559.33,0.21
429,0.0045416,185.58,344.76,479.36,596.21,694.2,6540.0,2928.8,2513.9,2206.5,1884.6,1606.4,0.2
430,0.00214546,76.68,144.69,207.17,266.74,320.78,3089.5,1201.0,1091.8,1024.3,960.67,885.94,0.17
431,0.00243221,105.35,198.96,285.48,366.96,441.43,3502.4,1674.0,1534.6,1418.3,1314.3,1220.9,0.19
433,0.00331519,104.77,188.29,260.39,326.98,387.19,4773.9,1558.7,1315.7,1182.0,1073.9,987.21,0.18
434,0.000263952,12.458,24.725,36.849,49.054,60.956,380.09,205.07,201.09,198.76,196.85,195.12,0.21
435,5.48076e-06,0.32103,0.63245,0.94033,1.2513,1.556,7.8923,5.2214,5.1052,5.0472,5.0151,4.9963,0.2
436,0.00172373,71.323,135.15,194.37,250.55,302.36,2482.2,1141.5,1046.3,970.85,906.14,849.43,0.24
437,0.000800402,37.336,73.473,108.48,143.01,176.03,1152.6,615.87,592.41,573.84,556.98,541.34,0.24
438,0.000831927,33.967,64.335,93.479,122.13,149.48,1198.0,529.29,497.85,477.77,462.07,448.47,0.22
439,0.00218987,77.188,145.65,208.52,267.94,322.46,3153.4,1211.5,1098.5,1030.7,958.38,893.75,0.18
440,0.00116029,46.957,91.397,134.28,176.43,216.57,1670.8,759.4,728.53,703.04,679.76,658.12,0.18
441,0.00206394,82.763,155.98,222.82,286.24,344.68,2972.1,1288.9,1175.0,1095.6,1023.0,957.96,0.22
442,0.000482013,25.58,50.745,75.372,99.892,123.54,694.1,422.99,412.53,403.73,395.48,387.68,0.18
443,0.00187675,68.991,130.22,185.95,238.94,286.98,2702.5,1084.4,981.17,913.73,854.6,787.62,0.2
444,0.00223345,83.61,157.34,225.82,290.75,349.76,3216.2,1315.3,1208.6,1122.6,1047.3,967.3,0.26
445,0.00484327,171.16,316.75,442.2,550.81,641.35,6974.3,2670.5,2303.1,1964.3,1689.3,1484.4,0.25
446,0.00166865,71.738,138.44,201.62,262.52,319.45,2402.9,1160.9,1093.4,1035.7,982.39,933.18,0.23
447,0.00152391,63.882,122.61,178.14,231.7,281.83,2194.4,1029.2,962.77,910.26,863.84,821.96,0.23
448,0.017361,1475.0,3000.0,4300.0,5161.1,5808.8,25000.0,25000.0,25000.0,18691.0,13888.0,10618.0,0.26
449,0.00117646,54.728,106.03,154.98,202.61,247.6,1694.1,891.23,841.04,802.37,768.32,737.51,0.25
450,0.000623377,27.561,54.285,80.329,106.18,131.07,897.67,452.25,438.09,426.94,417.02,407.88,0.21
451,0.00173987,75.168,143.39,207.34,268.49,325.21,2505.4,1203.5,1118.3,1048.5,986.19,929.87,0.23
452,0.00429911,138.64,249.01,341.07,423.94,497.04,6190.8,2081.5,1721.9,1509.2,1336.6,1198.3,0.21
453,0.000455654,24.131,48.34,72.147,95.951,119.0,656.15,404.5,396.86,390.28,383.93,377.81,0.26
454,0.00326031,119.18,219.22,302.77,376.56,440.87,4694.9,1847.4,1580.3,1369.6,1190.1,1054.3,0.2
455,0.00483299,173.79,317.93,439.21,540.54,627.35,6959.6,2676.1,2271.3,1899.9,1634.5,1423.1,0.25
456,0.00265233,96.99,181.25,258.41,329.64,392.81,3819.4,1523.4,1381.2,1265.0,1148.9,1035.6,0.25
457,0.00278267,109.85,206.25,295.03,378.38,453.98,4007.1,1729.9,1580.3,1455.5,1344.4,1239.3,0.22
458,6.37795e-06,0.3904,0.78004,1.1682,1.562,1.9492,9.1843,6.4645,6.3876,6.3627,6.3527,6.3477,0.25
459,0.00172359,78.563,150.89,218.78,283.7,343.9,2482.0,1274.1,1185.7,1113.0,1047.1,986.93,0.24
460,0.000579447,25.24,49.355,72.792,96.046,118.43,834.41,411.22,395.33,384.21,375.07,366.97,0.25
461,0.00396363,139.96,265.35,380.96,487.8,582.67,5707.7,2232.5,2055.6,1895.2,1723.3,1555.2,0.2
462,1.00153e-05,0.52491,1.0029,1.4629,1.9168,2.3528,14.422,8.2829,7.8358,7.541,7.321,7.1481,0.17
463,0.00303794,122.51,229.7,327.3,417.84,498.14,4374.7,1940.3,1757.1,1600.0,1460.3,1316.4,0.18
464,0.00132764,58.826,113.79,166.15,217.0,264.91,1911.8,952.63,900.98,858.41,820.17,785.39,0.23
465,0.000709884,34.787,68.457,101.1,133.34,164.19,1022.2,572.65,551.96,535.2,519.93,505.76,0.22
466,0.00177286,76.972,148.15,214.97,278.85,338.09,2552.9,1249.0,1166.9,1095.4,1030.2,971.12,0.21
467,0.0042727,160.22,299.41,421.28,529.88,624.27,6152.7,2502.4,2215.5,1997.9,1751.6,1547.4,0.24
468,0.00256461,113.81,217.67,314.24,405.52,489.18,3693.1,1835.7,1702.6,1583.0,1472.3,1371.4,0.23
469,0.00040174,19.084,37.669,55.878,74.056,91.648,578.51,312.79,304.66,298.51,293.2,288.39,0.2
470,0.000347762,19.148,38.286,57.132,76.005,94.31,500.78,319.52,313.73,308.95,304.41,300.07,0.26
471,0.000455165,20.206,39.556,58.439,77.258,95.455,655.44,328.58,317.21,309.56,303.53,298.32,0.24
472,0.000590686,25.533,49.599,73.046,96.371,118.88,850.59,410.19,394.52,384.38,376.21,368.95,0.23
473,0.000358908,15.289,30.171,44.753,59.329,73.462,516.83,251.11,243.97,239.05,235.1,231.69,0.19
474,0.000937567,43.468,83.609,121.91,159.21,194.47,1350.1,696.75,658.05,627.86,601.59,578.05,0.24
475,0.000247527,12.789,25.265,37.465,49.641,61.431,356.44,211.28,204.52,200.01,196.39,193.27,0.26
476,0.00235263,84.084,159.23,229.46,296.43,357.48,3387.8,1334.0,1232.0,1151.3,1080.0,1000.9,0.23
477,0.017361,1475.0,3000.0,4241.2,5096.4,5770.6,25000.0,25000.0,25000.0,17852.0,13794.0,11052.0,0.19
478,0.00123383,56.442,110.06,161.23,210.92,257.7,1776.7,923.25,879.0,838.86,801.4,766.87,0.25
479,0.000280102,13.329,26.307,39.091,51.927,64.417,403.35,218.11,212.75,209.57,207.04,204.75,0.25
480,0.0003227,15.156,29.81,44.175,58.551,72.507,464.69,247.9,240.22,235.5,231.87,228.78,0.17
481,0.00488983,165.99,294.05,399.65,488.68,564.99,7041.4,2443.0,1982.1,1660.5,1436.0,1250.8,0.26
482,0.000869938,37.196,72.47,106.55,140.12,172.2,1252.7,603.98,578.25,558.67,541.55,525.9,0.22
483,0.00235484,102.99,198.42,287.69,372.53,450.66,3391.0,1673.7,1564.4,1463.4,1368.4,1280.9,0.26
484,0.00279156,107.36,202.68,290.61,373.16,447.3,4019.9,1701.7,1562.5,1441.5,1331.4,1215.4,0.26
485,0.00143868,60.482,116.47,169.58,221.01,269.36,2071.7,978.23,917.86,870.67,829.51,792.54,0.18
486,0.00121761,52.341,102.28,150.52,197.95,243.12,1753.4,852.54,818.66,790.84,764.93,740.54,0.2
487,0.00281562,110.25,207.89,298.13,383.11,460.61,4054.5,1745.3,1600.7,1479.4,1370.6,1270.6,0.19
488,0.00203921,81.402,156.3,226.87,294.53,357.41,2936.5,1307.5,1227.8,1157.0,1091.2,1030.8,0.21
489,3.53008e-05,2.0573,4.1249,6.1826,8.2676,10.314,50.834,34.219,33.895,33.733,33.629,33.55,0.26
490,4.45603e-05,2.4589,4.8934,7.3099,9.7554,12.154,64.167,40.578,39.909,39.615,39.444,39.319,0.24
491,0.00292972,113.29,212.34,302.71,386.66,460.51,4218.8,1789.3,1623.9,1481.5,1354.0,1210.6,0.26
492,0.00114727,48.763,93.0,134.27,174.17,211.61,1652.1,767.19,713.24,676.62,643.47,613.79,0.24
493,0.000594604,26.3,50.373,73.554,96.435,118.39,856.24,417.49,394.63,380.01,369.06,359.95,0.26
494,0.00254251,97.2,182.87,262.36,337.59,406.21,3661.2,1528.5,1404.4,1303.1,1213.5,1124.8,0.22
495,0.00216844,76.906,143.84,205.4,263.66,316.92,3122.6,1185.1,1074.4,1009.2,939.59,873.16,0.26
496,0.00216489,84.468,159.31,229.42,296.48,358.78,3117.5,1326.3,1227.0,1149.3,1081.6,1021.3,0.17
497,0.00262267,116.61,218.51,312.03,399.59,479.2,3776.7,1839.1,1670.4,1533.1,1412.3,1305.1,0.2
498,0.00163056,68.264,129.46,186.76,241.56,292.45,2348.0,1085.7,1003.2,939.36,883.88,834.31,0.24
499,0.00302819,121.44,230.99,331.89,426.47,512.44,4360.6,1961.5,1795.8,1654.2,1525.4,1409.4,0.18
500,0.000432404,20.042,39.7,59.036,78.387,97.145,622.67,329.04,322.27,316.98,312.11,307.51,0.2
501,8.99245e-05,4.5132,8.8522,13.126,17.431,21.641,129.49,73.268,71.131,70.06,69.438,69.013,0.22
502,0.000367425,16.425,32.036,47.308,62.563,77.343,529.09,264.6,255.92,250.37,246.04,242.29,0.26
503,0.000819715,42.098,82.85,122.3,161.16,198.24,1180.4,692.73,668.07,646.79,626.73,607.76,0.22
504,0.00403195,144.29,267.7,373.36,467.19,549.39,5806.0,2244.7,1959.5,1732.1,1513.4,1347.5,0.2
